DateTime,P#,L#,LotCount,PartsMade,Reject1,Reject2,Reject3,Reject4,Reject5,Reject6,Reject7,Reject8,Reject9,Reject10,Reject11,Reject12,Reject13,Reject14,Reject15,Reject16,Reject17,Reject18
12/1/2022,123456,lotno,4624,154,0,0,0,7,9,0,0,0,0,0,0,47,3,0,0,0,0,0
12/1/2022,123456,lotno,4825,201,0,0,0,3,3,0,0,0,0,0,0,55,1,0,0,0,0,0
12/1/2022,123456,lotno,4943,118,0,0,0,2,4,0,0,0,0,0,0,30,1,0,0,0,0,0
12/1/2022,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2022,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2022,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2022,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2022,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2022,123456,lotno,5108,165,0,0,0,1,1,0,0,0,0,0,0,55,0,0,0,0,2,0
12/1/2022,123456,lotno,5316,208,0,0,0,0,1,0,0,0,0,0,0,87,0,0,0,0,0,0
12/1/2022,123456,lotno,5538,222,0,0,0,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0
12/1/2022,123456,lotno,5763,225,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,0
12/1/2022,123456,lotno,5861,98,0,0,0,4,6,1,0,0,0,0,0,38,2,0,0,0,0,0
12/1/2022,123456,lotno,5919,58,3,0,0,0,1,0,0,0,0,0,0,28,0,2,1,0,0,0
12/1/2022,123456,lotno,6081,162,0,0,0,5,6,2,0,0,0,0,0,70,1,2,0,0,1,0
12/1/2022,123456,lotno,6255,174,0,0,0,8,8,0,0,0,0,0,0,65,3,2,0,0,0,0
12/1/2022,123456,lotno,6436,181,0,0,0,5,7,0,0,0,0,0,0,57,2,8,0,0,0,0
12/1/2022,123456,lotno,6636,200,3,0,0,0,1,2,0,0,0,0,0,60,0,1,0,0,0,0
12/1/2022,123456,lotno,6807,171,1,0,0,4,5,0,0,0,0,0,0,59,2,0,0,0,0,0
12/1/2022,123456,lotno,6897,90,0,0,0,9,8,1,0,0,0,0,0,40,3,2,0,0,0,0
12/1/2022,123456,lotno,7030,133,2,0,0,2,2,1,0,0,0,0,0,75,0,1,0,0,0,1
12/1/2022,123456,lotno,7255,225,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
12/1/2022,123456,lotno,7437,182,2,0,0,3,3,2,0,0,0,1,0,36,1,2,0,0,0,0
12/1/2022,123456,lotno,7646,209,3,0,0,2,3,2,0,0,0,0,0,82,1,0,0,0,0,0
12/2/2022,123456,lotno,7868,222,4,0,0,0,0,2,0,0,0,0,0,74,0,0,0,0,0,0
12/2/2022,123456,lotno,8088,220,2,0,0,0,0,0,0,0,0,0,0,57,0,2,0,0,0,0
12/2/2022,123456,lotno,8298,209,3,0,0,2,1,0,0,0,0,0,0,71,0,1,0,0,0,0
12/2/2022,123456,lotno,8311,13,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
12/2/2022,123456,lotno,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2022,123456,lotno,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2022,123456,lotno,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2022,123456,lotno,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2022,123456,lotno,8454,143,1,0,0,1,1,0,0,0,0,0,0,55,0,0,0,0,0,0
12/2/2022,123456,lotno,8644,190,7,0,0,0,0,0,0,0,0,4,0,54,0,1,0,0,0,0
12/2/2022,123456,lotno,8871,227,1,0,0,0,0,1,0,0,0,1,0,51,0,0,0,0,0,0
12/2/2022,123456,lotno,9024,153,4,0,0,0,0,0,0,0,1,0,1,64,0,0,0,0,0,0
12/2/2022,123456,lotno,9206,182,0,0,0,3,2,0,0,0,0,6,0,68,0,3,0,0,0,0
12/2/2022,123456,lotno,9410,204,0,0,0,3,1,0,0,0,0,0,0,102,1,0,0,0,0,0
12/2/2022,123456,lotno,9611,201,2,0,0,0,0,1,0,0,0,0,0,65,0,1,0,0,0,0
12/2/2022,123456,lotno,9789,160,0,0,0,5,5,0,0,2,0,14,0,46,1,1,0,0,0,0
12/2/2022,123456,lotno,9983,194,2,0,1,0,0,0,0,1,0,2,0,53,0,1,0,0,0,0
12/2/2022,123456,lotno,158,207,4,0,1,1,0,0,0,1,0,4,0,24,0,0,0,0,0,0
12/2/2022,123456,lotno,385,227,3,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
12/2/2022,123456,lotno,601,216,1,1,0,0,1,2,0,1,0,2,0,0,0,1,0,0,0,0
12/2/2022,123456,lotno,696,95,0,0,1,3,5,1,0,0,0,1,0,0,1,3,0,0,0,0
12/2/2022,123456,lotno,798,102,1,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0
12/2/2022,123456,lotno,1027,229,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,1
12/2/2022,123456,lotno,1251,224,3,0,0,0,1,1,0,0,0,3,0,6,0,1,0,0,0,0
12/3/2022,123456,lotno,1476,225,3,0,0,1,1,0,0,0,0,1,0,14,0,0,0,0,0,0
12/3/2022,123456,lotno,1677,201,3,0,0,2,3,1,0,0,0,1,0,28,1,0,0,0,0,0
12/3/2022,123456,lotno,1813,136,1,0,1,0,1,0,0,0,0,0,0,20,0,1,0,0,0,0
12/3/2022,123456,lotno,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,1813,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,1989,176,1,1,5,0,1,0,0,2,0,1,0,48,0,0,0,0,0,0
12/3/2022,123456,lotno,2086,97,6,0,1,0,0,0,0,3,0,5,0,18,0,2,0,0,1,0
12/3/2022,123456,lotno,2236,150,6,0,0,6,3,1,0,1,0,2,1,47,1,3,0,0,0,0
12/3/2022,123456,lotno,2427,191,6,1,2,0,1,0,0,0,0,4,0,35,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,93,0,0,0,1,0,0,0,0,0,2,0,32,0,1,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,123456,lotno,2526,6,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
12/5/2022,123456,lotno,2617,91,0,0,0,21,20,0,0,1,1,2,0,24,7,6,0,0,0,0
12/5/2022,123456,lotno,2790,173,0,0,1,4,3,0,0,4,0,2,0,32,0,2,0,0,0,0
12/5/2022,123456,lotno,3022,232,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,4
12/5/2022,123456,lotno,3229,207,1,0,0,0,0,8,0,0,0,4,0,34,0,0,0,0,0,0
12/5/2022,123456,lotno,3462,233,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
12/5/2022,123456,lotno,3691,229,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0
12/5/2022,123456,lotno,3889,198,3,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0
12/5/2022,123456,lotno,4119,230,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
12/5/2022,123456,lotno,4347,228,1,0,0,0,0,2,0,0,0,1,0,17,0,1,0,0,0,0
12/5/2022,123456,lotno,4570,223,0,0,0,1,0,3,0,0,0,4,0,61,0,0,0,0,0,0
12/5/2022,123456,lotno,4797,227,0,0,0,0,0,3,0,0,0,3,0,27,0,0,0,0,0,0
12/5/2022,123456,lotno,4997,200,0,0,0,5,5,2,0,0,1,1,0,23,2,0,0,0,0,2
12/5/2022,123456,lotno,5168,171,0,0,0,1,0,0,0,0,1,5,0,41,0,0,0,0,0,1
12/5/2022,123456,lotno,5355,187,0,0,0,0,1,1,0,0,1,4,0,57,0,0,0,0,0,0
12/5/2022,123456,lotno,5529,174,1,0,0,4,4,1,0,0,1,3,0,43,1,0,0,0,0,0
12/5/2022,123456,lotno,5749,220,0,0,0,0,0,2,0,1,1,2,0,54,0,1,0,0,0,0
12/6/2022,123456,lotno,5974,225,0,0,0,0,0,1,0,0,0,2,0,59,0,1,0,0,0,0
12/6/2022,123456,lotno,6191,217,0,0,0,2,3,0,0,0,0,6,0,42,1,0,0,0,2,0
12/6/2022,123456,lotno,6402,211,2,0,0,0,0,0,0,0,0,4,0,73,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,115,0,0,1,0,0,0,0,0,1,2,0,36,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,123456,lotno,6546,29,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
12/6/2022,123456,lotno,6741,195,0,0,0,0,0,7,0,0,0,5,0,65,0,1,0,0,0,0
12/6/2022,123456,lotno,6861,120,2,3,6,0,0,2,0,0,0,0,0,54,0,1,0,0,0,0
12/6/2022,123456,lotno,6992,131,4,0,1,1,1,0,0,1,0,5,0,37,0,1,0,0,5,0
12/6/2022,123456,lotno,7178,186,3,0,0,1,2,0,0,0,0,3,0,74,0,0,0,0,4,0
12/6/2022,123456,lotno,7391,213,4,0,0,0,0,0,0,0,1,8,0,90,0,0,0,0,0,0
12/6/2022,123456,lotno,7616,225,0,0,0,0,0,0,0,0,0,3,0,61,0,0,0,0,0,0
12/6/2022,123456,lotno,7823,207,4,0,0,1,0,0,0,0,0,4,0,56,1,1,0,0,0,0
12/6/2022,123456,lotno,8043,220,4,0,0,0,0,0,0,0,0,3,0,68,0,0,0,0,9,0
12/6/2022,123456,lotno,8264,221,0,0,0,0,0,1,0,0,0,2,0,58,0,1,0,0,0,0
12/6/2022,123456,lotno,8458,194,1,0,0,2,2,0,0,1,0,2,0,55,0,0,0,0,0,0
12/6/2022,123456,lotno,8684,226,0,0,0,1,0,0,0,0,0,1,0,56,0,1,0,0,0,0
12/6/2022,123456,lotno,8904,220,4,0,0,1,0,0,0,1,0,0,0,56,0,0,0,0,0,0
12/6/2022,123456,lotno,9093,189,3,0,0,0,1,1,0,0,0,3,0,69,1,0,0,0,0,0
12/6/2022,123456,lotno,9249,156,1,1,1,3,3,0,0,0,0,2,0,45,1,0,0,0,0,0
12/6/2022,123456,lotno,9468,219,7,0,0,0,0,1,0,0,0,1,0,31,0,0,0,0,0,0
12/6/2022,123456,lotno,9677,209,10,0,0,0,2,0,0,0,0,2,0,31,0,0,0,0,0,0
12/7/2022,123456,lotno,9889,212,4,1,0,0,1,1,0,0,0,0,0,65,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,37,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,9936,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,98,3,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
