Rst DateTime,Machine#,Emp#,Major,Minor0,Minor1,Minor2,Minor3,Minor4,Detail,Comment,Part#,Lot#,LotCount,LPM DateTime
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,4802,12/1/2022 0:46
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,4866,12/1/2022 1:10
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,4943,12/1/2022 1:40
12/1/2022,RB17,580,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,hypotube slide ,123456,lotno,5000,12/1/2022 7:26
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,5238,12/1/2022 8:34
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,5763,12/1/2022 10:58
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,5810,12/1/2022 11:22
12/1/2022,RB17,580,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,hypotube loaded,123456,lotno,5825,12/1/2022 11:34
12/1/2022,RB17,495,Hypotube Loading,Reject quantity,NULL,NULL,NULL,NULL,NULL,bent hypotube,123456,lotno,5874,12/1/2022 12:19
12/1/2022,RB17,495,Engineering,Mechanical changes,Press,NULL,NULL,NULL,NULL,adj hypotube insert guide slightly such that the hypotube is not hitting the edge of the die as it is being inserted,123456,lotno,5899,12/1/2022 12:40
12/1/2022,RB17,495,Auxiliary,Robot 2 Crash,NULL,NULL,NULL,NULL,NULL,rb2 arm broke while trying to pull out the hypotube assembly from the crimp. Crimp had a large fin that prevented it from going through the hyp insert guide,123456,lotno,5919,12/1/2022 12:46
12/1/2022,RB17,495,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light curtain trying to retrieve hypotube,123456,lotno,5984,12/1/2022 13:31
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,6115,12/1/2022 14:13
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,6365,12/1/2022 15:31
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,R-4837 Spool#1,123456,lotno,6538,12/1/2022 16:27
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6636,12/1/2022 16:59
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6710,12/1/2022 17:31
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6828,12/1/2022 18:05
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6843,12/1/2022 18:19
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6855,12/1/2022 18:24
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6858,12/1/2022 18:36
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide is not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypotube slide is not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide is not in retracted position,123456,lotno,6991,12/1/2022 19:25
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6991,12/1/2022 19:25
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,7037,12/1/2022 20:01
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,7263,12/1/2022 21:02
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,7416,12/1/2022 21:49
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,7543,12/1/2022 22:28
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8311,12/2/2022 2:03
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8401,12/2/2022 7:40
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8401,12/2/2022 7:40
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light ,123456,lotno,8433,12/2/2022 7:53
12/2/2022,RB17,580,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,hypotube slide notin,123456,lotno,8546,12/2/2022 8:25
12/2/2022,RB17,487,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,R-4853 Spool#31,123456,lotno,8638,12/2/2022 8:55
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,9000,12/2/2022 10:35
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,9114,12/2/2022 11:24
12/2/2022,RB17,487,Crimping,Stuck in die,NULL,NULL,NULL,NULL,NULL,stuck in die,123456,lotno,9115,12/2/2022 11:30
12/2/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,9341,12/2/2022 12:35
12/2/2022,RB17,487,Crimping,Stuck in die,NULL,NULL,NULL,NULL,NULL,stuck in die ,123456,lotno,9611,12/2/2022 13:56
12/2/2022,RB17,495,Inspection,Reject quantity,Fitting length,NULL,NULL,NULL,NULL,tight window on RB-17 doesn't allow for much room to take image. Fine tuned camera inspection region,123456,lotno,9682,12/2/2022 14:26
12/2/2022,RB17,487,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,R-4837 Spool#31,123456,lotno,9969,12/2/2022 15:49
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,9969,12/2/2022 15:49
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8,12/2/2022 16:18
12/2/2022,RB17,548,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,light curatin,123456,lotno,126,12/2/2022 16:50
12/2/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,601,12/2/2022 18:57
12/2/2022,RB17,548,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,light curtain,123456,lotno,601,12/2/2022 18:57
12/2/2022,RB17,548,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,light curtain,123456,lotno,685,12/2/2022 19:43
12/2/2022,RB17,548,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,light curtain,123456,lotno,685,12/2/2022 19:43
12/2/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,761,12/2/2022 20:17
12/2/2022,RB17,548,Non Error,Material change,Fitting,NULL,NULL,NULL,NULL,added fittings,123456,lotno,1362,12/2/2022 23:29
12/3/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide not fully extended,123456,lotno,1677,12/3/2022 0:53
12/3/2022,RB17,607,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,,123456,lotno,1733,12/3/2022 1:14
12/3/2022,RB17,487,Swaging,Cable stuck in die,NULL,NULL,NULL,NULL,NULL,stuck in die,123456,lotno,1813,12/3/2022 1:38
12/3/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,1869,12/3/2022 6:21
12/3/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,1878,12/3/2022 6:25
12/3/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,replace small spool,123456,lotno,1887,12/3/2022 6:30
12/3/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,2030,12/3/2022 7:13
12/3/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,2176,12/3/2022 8:25
12/3/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,2230,12/3/2022 8:52
12/3/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,2230,12/3/2022 8:52
12/5/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,2520,12/3/2022 10:25
12/5/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,hypo stuck on die,123456,lotno,2520,12/3/2022 10:25
12/5/2022,RB17,495,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,NULL,123456,lotno,2617,12/5/2022 7:24
12/5/2022,RB17,495,Crimping,Reject quantity,Lead,NULL,NULL,NULL,NULL,never good to have a clogged sphincter. HAZ build up in hypo insert bushing,123456,lotno,2617,12/5/2022 7:24
12/5/2022,RB17,495,Hypotube Loading,Reject quantity,NULL,NULL,NULL,NULL,NULL,bent hyptoube at inseryt,123456,lotno,2617,12/5/2022 7:24
12/5/2022,RB17,495,Crimping,Reject quantity,Trail,NULL,NULL,NULL,NULL,adj to sphincter housing assembly,123456,lotno,2619,12/5/2022 8:09
12/5/2022,RB17,495,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,clearing hypotube scrap to see how much FL rejects are produced during the day,123456,lotno,2622,12/5/2022 8:11
12/5/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,3169,12/5/2022 10:39
12/5/2022,RB17,487,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,,123456,lotno,3722,12/5/2022 13:07
12/5/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,4074,12/5/2022 14:47
12/5/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,4804,12/5/2022 18:01
12/5/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,4846,12/5/2022 18:13
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,feeder error,123456,lotno,4907,12/5/2022 18:35
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,5165,12/5/2022 19:45
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,5166,12/5/2022 19:49
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,5341,12/5/2022 20:46
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,5341,12/5/2022 20:46
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,5341,12/5/2022 20:46
12/5/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,5443,12/5/2022 21:23
12/5/2022,RB17,607,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,5462,12/5/2022 21:33
12/5/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,5555,12/5/2022 22:07
12/6/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6083,12/6/2022 0:28
12/6/2022,RB17,607,Non Error,Material change,Cable,NULL,NULL,NULL,NULL,,123456,lotno,6241,12/6/2022 1:13
12/6/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6279,12/6/2022 1:25
12/6/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,cable stuck in swager,123456,lotno,6517,12/6/2022 2:30
12/6/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,6787,12/6/2022 8:12
12/6/2022,RB17,580,Swaging,Cable stuck in die,NULL,NULL,NULL,NULL,NULL,cable in die enter,123456,lotno,6790,12/6/2022 8:13
12/6/2022,RB17,487,Swaging,Cable stuck in die,NULL,NULL,NULL,NULL,NULL,stuck in die ,123456,lotno,6861,12/6/2022 8:37
12/6/2022,RB17,487,Swaging,Cable stuck in die,NULL,NULL,NULL,NULL,NULL,stuck in die,123456,lotno,6861,12/6/2022 8:37
12/6/2022,RB17,495,Swaging,Cable stuck in die,NULL,NULL,NULL,NULL,NULL,polished die..something a tech should be doing,123456,lotno,6913,12/6/2022 9:16
12/6/2022,RB17,495,Hypotube Loading,Reject quantity,NULL,NULL,NULL,NULL,NULL,NULL,123456,lotno,6977,12/6/2022 9:50
12/6/2022,RB17,495,Engineering,Position changes,Robot 2,Part specific,OverallLengthCheck_2,NULL,NULL,adjusted by 5 thou away from die in an attempt to reduce FL CAMERA rejects,123456,lotno,6987,12/6/2022 9:55
12/6/2022,RB17,495,Engineering,Position changes,Robot 2,Part specific,OverallLengthCheck_2,NULL,NULL,reduced inital change by 2.5 thou,123456,lotno,7041,12/6/2022 10:16
12/6/2022,RB17,580,Hypotube Loading,Missed insert,NULL,NULL,NULL,NULL,NULL,missing inserting,123456,lotno,7106,12/6/2022 10:35
12/6/2022,RB17,580,Hypotube Loading,Missed insert,NULL,NULL,NULL,NULL,NULL,hypotube not retracking,123456,lotno,7736,12/6/2022 13:32
12/6/2022,RB17,548,Non Error,Material change,Hypotube,NULL,NULL,NULL,NULL,lightcurtain,123456,lotno,8270,12/6/2022 16:02
12/6/2022,RB17,495,Hypotube Loading,Reject quantity,NULL,NULL,NULL,NULL,NULL,bent hypotube,123456,lotno,8326,12/6/2022 16:19
12/6/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,8702,12/6/2022 18:04
12/6/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,8947,12/6/2022 19:11
12/6/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,9174,12/6/2022 20:21
12/6/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide is not in retracted position,123456,lotno,9180,12/6/2022 20:25
12/6/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,9708,12/6/2022 23:08
12/7/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,9926,12/7/2022 0:13
12/12/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,0,12/7/2022 7:27
12/12/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,102,12/12/2022 14:58
12/12/2022,RB17,495,Engineering,Position changes,Robot 2,Base,HypoPickUp_2,NULL,NULL,adj to pickup by +2 in z. Sometimes picks up 2 hypotubes,123456,lotno,251,12/12/2022 15:43
